LinearShuntCompensator cap2 n611 C _B2D1F8E7-90DF-4773-8703-549946B9DEC9 _4133D734-968F-462B-9433-F3F3C2C20130
LinearShuntCompensator cap1 n675 A _DAA4F642-744B-49D3-A689-E40BA4676FEA _6E23D362-5A29-45FB-BD24-26992A5A2124
LinearShuntCompensator cap1 n675 B _DAA4F642-744B-49D3-A689-E40BA4676FEA _6E23D362-5A29-45FB-BD24-26992A5A2124
LinearShuntCompensator cap1 n675 C _DAA4F642-744B-49D3-A689-E40BA4676FEA _6E23D362-5A29-45FB-BD24-26992A5A2124
PowerTransformer RatioTapChanger Reg 2 rg60 A _6D2E888E-3BEA-4AEA-B3AC-A91D4CAC55A6 _CDC5C099-5058-42AD-981F-57DD5F5D2655
PowerElectronicsConnection BatteryUnit DER_633_a_35 DER_633_a_35 tlx_633_a_h_35 s1 _C3077B71-7DCB-41B2-B9DF-F781EED899B6 _F9ADDD9D-2268-45AC-8671-94DC3DB2EEB5
PowerElectronicsConnection BatteryUnit DER_633_a_35 DER_633_a_35 tlx_633_a_h_35 s2 _C3077B71-7DCB-41B2-B9DF-F781EED899B6 _F9ADDD9D-2268-45AC-8671-94DC3DB2EEB5
PowerElectronicsConnection BatteryUnit DER_633_a_36 DER_633_a_36 tlx_633_a_h_36 SoC _968B285C-71A9-48DB-97CD-3A3E9E794BB7 _30A1719A-7CB6-4DD4-836D-94E06275C044
PowerElectronicsConnection BatteryUnit DER_633_a_36 DER_633_a_36 tlx_633_a_h_36 s1 _968B285C-71A9-48DB-97CD-3A3E9E794BB7 _30A1719A-7CB6-4DD4-836D-94E06275C044
PowerElectronicsConnection BatteryUnit DER_633_a_36 DER_633_a_36 tlx_633_a_h_36 s2 _968B285C-71A9-48DB-97CD-3A3E9E794BB7 _30A1719A-7CB6-4DD4-836D-94E06275C044
PowerElectronicsConnection BatteryUnit DER_633_a_37 DER_633_a_37 tlx_633_a_h_37 SoC _3046151E-7C3D-4F6B-8615-04D153B8C728 _58C03B2B-64C3-4237-9BDE-6F802FA19F4A
PowerElectronicsConnection BatteryUnit DER_633_a_37 DER_633_a_37 tlx_633_a_h_37 s1 _3046151E-7C3D-4F6B-8615-04D153B8C728 _58C03B2B-64C3-4237-9BDE-6F802FA19F4A
PowerElectronicsConnection BatteryUnit DER_633_a_37 DER_633_a_37 tlx_633_a_h_37 s2 _3046151E-7C3D-4F6B-8615-04D153B8C728 _58C03B2B-64C3-4237-9BDE-6F802FA19F4A
PowerElectronicsConnection BatteryUnit DER_633_a_38 DER_633_a_38 tlx_633_a_h_38 SoC _B1C99B13-7974-4E17-92C7-36C2F2AABADB _D1CB7332-6FA7-4670-B2FD-74620A0689B9
PowerElectronicsConnection BatteryUnit DER_633_a_38 DER_633_a_38 tlx_633_a_h_38 s1 _B1C99B13-7974-4E17-92C7-36C2F2AABADB _D1CB7332-6FA7-4670-B2FD-74620A0689B9
PowerElectronicsConnection BatteryUnit DER_633_a_38 DER_633_a_38 tlx_633_a_h_38 s2 _B1C99B13-7974-4E17-92C7-36C2F2AABADB _D1CB7332-6FA7-4670-B2FD-74620A0689B9
PowerElectronicsConnection BatteryUnit DER_633_a_39 DER_633_a_39 tlx_633_a_h_39 SoC _150756E8-4D0E-4CCD-B9FB-A508DD3A1DB1 _1624E29F-90FB-4952-8FDA-85D4EC8DE747
PowerElectronicsConnection BatteryUnit DER_633_a_39 DER_633_a_39 tlx_633_a_h_39 s1 _150756E8-4D0E-4CCD-B9FB-A508DD3A1DB1 _1624E29F-90FB-4952-8FDA-85D4EC8DE747
PowerElectronicsConnection BatteryUnit DER_633_a_39 DER_633_a_39 tlx_633_a_h_39 s2 _150756E8-4D0E-4CCD-B9FB-A508DD3A1DB1 _1624E29F-90FB-4952-8FDA-85D4EC8DE747
PowerElectronicsConnection BatteryUnit DER_633_a_4 DER_633_a_4 tlx_633_a_h_4 SoC _FB2C0A11-958A-4B0A-BF94-4AB902C711A1 _B1BBF3CA-3734-4DEB-8169-292198D487B5
PowerElectronicsConnection BatteryUnit DER_633_a_4 DER_633_a_4 tlx_633_a_h_4 s1 _FB2C0A11-958A-4B0A-BF94-4AB902C711A1 _B1BBF3CA-3734-4DEB-8169-292198D487B5
PowerElectronicsConnection BatteryUnit DER_633_a_4 DER_633_a_4 tlx_633_a_h_4 s2 _FB2C0A11-958A-4B0A-BF94-4AB902C711A1 _B1BBF3CA-3734-4DEB-8169-292198D487B5
PowerElectronicsConnection BatteryUnit DER_633_a_40 DER_633_a_40 tlx_633_a_h_40 SoC _A08E172B-E27C-45C6-8E2D-463A37842BE4 _B8E61086-01B8-46BB-9EB1-0AE8A43FFA09
PowerElectronicsConnection BatteryUnit DER_633_a_40 DER_633_a_40 tlx_633_a_h_40 s1 _A08E172B-E27C-45C6-8E2D-463A37842BE4 _B8E61086-01B8-46BB-9EB1-0AE8A43FFA09
PowerElectronicsConnection BatteryUnit DER_633_a_40 DER_633_a_40 tlx_633_a_h_40 s2 _A08E172B-E27C-45C6-8E2D-463A37842BE4 _B8E61086-01B8-46BB-9EB1-0AE8A43FFA09
PowerElectronicsConnection BatteryUnit DER_633_a_5 DER_633_a_5 tlx_633_a_h_5 SoC _04EC5956-E4B6-4D20-812F-77EB89FCF14E _C8F3A635-5BE1-40A2-935D-D9363B4293BA
PowerElectronicsConnection BatteryUnit DER_633_a_5 DER_633_a_5 tlx_633_a_h_5 s1 _04EC5956-E4B6-4D20-812F-77EB89FCF14E _C8F3A635-5BE1-40A2-935D-D9363B4293BA
PowerElectronicsConnection BatteryUnit DER_633_a_5 DER_633_a_5 tlx_633_a_h_5 s2 _04EC5956-E4B6-4D20-812F-77EB89FCF14E _C8F3A635-5BE1-40A2-935D-D9363B4293BA
PowerElectronicsConnection BatteryUnit DER_633_a_6 DER_633_a_6 tlx_633_a_h_6 SoC _55E3F78A-330D-43A1-9437-9CF006CEBFA6 _EE669DA5-6DB7-4BC5-A2E9-AC4A6C413F3B
PowerElectronicsConnection BatteryUnit DER_633_a_6 DER_633_a_6 tlx_633_a_h_6 s1 _55E3F78A-330D-43A1-9437-9CF006CEBFA6 _EE669DA5-6DB7-4BC5-A2E9-AC4A6C413F3B
PowerElectronicsConnection BatteryUnit DER_633_a_6 DER_633_a_6 tlx_633_a_h_6 s2 _55E3F78A-330D-43A1-9437-9CF006CEBFA6 _EE669DA5-6DB7-4BC5-A2E9-AC4A6C413F3B
PowerElectronicsConnection BatteryUnit DER_633_a_7 DER_633_a_7 tlx_633_a_h_7 SoC _6929343B-BFD1-470C-A4D7-D0EF6C8FD351 _C5B6BF62-9AE9-4A09-8966-2C2459BD2B07
PowerElectronicsConnection BatteryUnit DER_633_a_7 DER_633_a_7 tlx_633_a_h_7 s1 _6929343B-BFD1-470C-A4D7-D0EF6C8FD351 _C5B6BF62-9AE9-4A09-8966-2C2459BD2B07
PowerElectronicsConnection BatteryUnit DER_633_a_7 DER_633_a_7 tlx_633_a_h_7 s2 _6929343B-BFD1-470C-A4D7-D0EF6C8FD351 _C5B6BF62-9AE9-4A09-8966-2C2459BD2B07
PowerElectronicsConnection BatteryUnit DER_633_a_8 DER_633_a_8 tlx_633_a_h_8 SoC _96B1C0AB-38AD-4200-8A09-B5FBBF2A60C2 _247EB34E-35B9-4188-8F05-C9FF0750DCBA
PowerElectronicsConnection BatteryUnit DER_633_a_8 DER_633_a_8 tlx_633_a_h_8 s1 _96B1C0AB-38AD-4200-8A09-B5FBBF2A60C2 _247EB34E-35B9-4188-8F05-C9FF0750DCBA
PowerElectronicsConnection BatteryUnit DER_633_a_8 DER_633_a_8 tlx_633_a_h_8 s2 _96B1C0AB-38AD-4200-8A09-B5FBBF2A60C2 _247EB34E-35B9-4188-8F05-C9FF0750DCBA
PowerElectronicsConnection BatteryUnit DER_633_a_9 DER_633_a_9 tlx_633_a_h_9 SoC _752A7D0E-5859-4211-9D70-6D52CE5036BE _DBB78AAE-4577-4C1E-AEF8-D8A166984480
PowerElectronicsConnection BatteryUnit DER_633_a_9 DER_633_a_9 tlx_633_a_h_9 s1 _752A7D0E-5859-4211-9D70-6D52CE5036BE _DBB78AAE-4577-4C1E-AEF8-D8A166984480
PowerElectronicsConnection BatteryUnit DER_633_a_9 DER_633_a_9 tlx_633_a_h_9 s2 _752A7D0E-5859-4211-9D70-6D52CE5036BE _DBB78AAE-4577-4C1E-AEF8-D8A166984480
PowerElectronicsConnection BatteryUnit DER_633_b_1 DER_633_b_1 tlx_633_b_h_1 SoC _A4E6F018-3E65-4303-9309-EAC33CF07035 _02EE44AC-7272-41AE-AFD3-2C7C9214B736
PowerElectronicsConnection BatteryUnit DER_633_b_1 DER_633_b_1 tlx_633_b_h_1 s1 _A4E6F018-3E65-4303-9309-EAC33CF07035 _02EE44AC-7272-41AE-AFD3-2C7C9214B736
PowerElectronicsConnection BatteryUnit DER_633_b_1 DER_633_b_1 tlx_633_b_h_1 s2 _A4E6F018-3E65-4303-9309-EAC33CF07035 _02EE44AC-7272-41AE-AFD3-2C7C9214B736
PowerElectronicsConnection BatteryUnit DER_633_b_10 DER_633_b_10 tlx_633_b_h_10 SoC _6AF59A5C-086F-495F-A480-F29D1CF224AF _EE7C29CB-4955-4B9A-A03C-6B537399FA7A
PowerElectronicsConnection BatteryUnit DER_633_b_10 DER_633_b_10 tlx_633_b_h_10 s1 _6AF59A5C-086F-495F-A480-F29D1CF224AF _EE7C29CB-4955-4B9A-A03C-6B537399FA7A
PowerElectronicsConnection BatteryUnit DER_633_b_10 DER_633_b_10 tlx_633_b_h_10 s2 _6AF59A5C-086F-495F-A480-F29D1CF224AF _EE7C29CB-4955-4B9A-A03C-6B537399FA7A
PowerElectronicsConnection BatteryUnit DER_633_b_11 DER_633_b_11 tlx_633_b_h_11 SoC _5548ACDC-0D6C-4E3F-A744-2F0B582FF54F _4C198957-C436-4F6F-A16C-9B875E3F9C6E
PowerElectronicsConnection BatteryUnit DER_633_b_11 DER_633_b_11 tlx_633_b_h_11 s1 _5548ACDC-0D6C-4E3F-A744-2F0B582FF54F _4C198957-C436-4F6F-A16C-9B875E3F9C6E
PowerElectronicsConnection BatteryUnit DER_633_b_11 DER_633_b_11 tlx_633_b_h_11 s2 _5548ACDC-0D6C-4E3F-A744-2F0B582FF54F _4C198957-C436-4F6F-A16C-9B875E3F9C6E
PowerElectronicsConnection BatteryUnit DER_633_b_12 DER_633_b_12 tlx_633_b_h_12 SoC _A2B649F9-4B30-4911-AAC9-10138C81C6A6 _7E91D3B1-BF07-4DAA-B4CE-266077F07D6A
PowerElectronicsConnection BatteryUnit DER_633_b_12 DER_633_b_12 tlx_633_b_h_12 s1 _A2B649F9-4B30-4911-AAC9-10138C81C6A6 _7E91D3B1-BF07-4DAA-B4CE-266077F07D6A
PowerElectronicsConnection BatteryUnit DER_633_b_12 DER_633_b_12 tlx_633_b_h_12 s2 _A2B649F9-4B30-4911-AAC9-10138C81C6A6 _7E91D3B1-BF07-4DAA-B4CE-266077F07D6A
PowerElectronicsConnection BatteryUnit DER_633_b_13 DER_633_b_13 tlx_633_b_h_13 SoC _D8F8C5C0-8042-4DDF-AA25-D3DF7C690CFC _8479D95E-5B0C-4997-93F6-14158538BF43
PowerElectronicsConnection BatteryUnit DER_633_b_13 DER_633_b_13 tlx_633_b_h_13 s1 _D8F8C5C0-8042-4DDF-AA25-D3DF7C690CFC _8479D95E-5B0C-4997-93F6-14158538BF43
PowerElectronicsConnection BatteryUnit DER_633_b_13 DER_633_b_13 tlx_633_b_h_13 s2 _D8F8C5C0-8042-4DDF-AA25-D3DF7C690CFC _8479D95E-5B0C-4997-93F6-14158538BF43
PowerElectronicsConnection BatteryUnit DER_633_b_14 DER_633_b_14 tlx_633_b_h_14 SoC _BA5E5291-324B-4CDB-B241-4E526AC94FD8 _C44FC91D-2B37-44CB-B3D4-42E58F29EB4D
PowerElectronicsConnection BatteryUnit DER_633_b_14 DER_633_b_14 tlx_633_b_h_14 s1 _BA5E5291-324B-4CDB-B241-4E526AC94FD8 _C44FC91D-2B37-44CB-B3D4-42E58F29EB4D
PowerElectronicsConnection BatteryUnit DER_633_b_14 DER_633_b_14 tlx_633_b_h_14 s2 _BA5E5291-324B-4CDB-B241-4E526AC94FD8 _C44FC91D-2B37-44CB-B3D4-42E58F29EB4D
PowerElectronicsConnection BatteryUnit DER_633_b_15 DER_633_b_15 tlx_633_b_h_15 SoC _B9F55397-9E60-4677-BF99-284163853D42 _200FE006-7F41-4CB6-9297-CA93B02702C4
PowerElectronicsConnection BatteryUnit DER_633_b_15 DER_633_b_15 tlx_633_b_h_15 s1 _B9F55397-9E60-4677-BF99-284163853D42 _200FE006-7F41-4CB6-9297-CA93B02702C4
PowerElectronicsConnection BatteryUnit DER_633_b_15 DER_633_b_15 tlx_633_b_h_15 s2 _B9F55397-9E60-4677-BF99-284163853D42 _200FE006-7F41-4CB6-9297-CA93B02702C4
PowerElectronicsConnection BatteryUnit DER_633_b_16 DER_633_b_16 tlx_633_b_h_16 SoC _F5B16FFB-82DB-4C35-829D-6028C67C2B13 _1C999DC9-669D-4E73-9CD8-6A925D18894D
PowerElectronicsConnection BatteryUnit DER_633_b_16 DER_633_b_16 tlx_633_b_h_16 s1 _F5B16FFB-82DB-4C35-829D-6028C67C2B13 _1C999DC9-669D-4E73-9CD8-6A925D18894D
PowerElectronicsConnection BatteryUnit DER_633_b_16 DER_633_b_16 tlx_633_b_h_16 s2 _F5B16FFB-82DB-4C35-829D-6028C67C2B13 _1C999DC9-669D-4E73-9CD8-6A925D18894D
PowerElectronicsConnection BatteryUnit DER_633_b_17 DER_633_b_17 tlx_633_b_h_17 SoC _73A8FB5B-6167-4145-97E9-38792394117C _A8747C5B-23D6-4F08-877C-A20D6782AA21
PowerElectronicsConnection BatteryUnit DER_633_b_17 DER_633_b_17 tlx_633_b_h_17 s1 _73A8FB5B-6167-4145-97E9-38792394117C _A8747C5B-23D6-4F08-877C-A20D6782AA21
PowerElectronicsConnection BatteryUnit DER_633_b_17 DER_633_b_17 tlx_633_b_h_17 s2 _73A8FB5B-6167-4145-97E9-38792394117C _A8747C5B-23D6-4F08-877C-A20D6782AA21
PowerElectronicsConnection BatteryUnit DER_633_b_18 DER_633_b_18 tlx_633_b_h_18 SoC _AC5DFA42-8F1C-4915-897B-D4AD3347A871 _8FAC0E82-F8FB-4367-B516-E714B075D0D6
PowerElectronicsConnection BatteryUnit DER_633_b_18 DER_633_b_18 tlx_633_b_h_18 s1 _AC5DFA42-8F1C-4915-897B-D4AD3347A871 _8FAC0E82-F8FB-4367-B516-E714B075D0D6
PowerElectronicsConnection BatteryUnit DER_633_b_18 DER_633_b_18 tlx_633_b_h_18 s2 _AC5DFA42-8F1C-4915-897B-D4AD3347A871 _8FAC0E82-F8FB-4367-B516-E714B075D0D6
PowerElectronicsConnection BatteryUnit DER_633_b_19 DER_633_b_19 tlx_633_b_h_19 SoC _E98D9805-5EE5-4D33-B9B3-3FBA90667BC0 _EB59D63A-FCA0-4EB2-951B-F64E145B1748
PowerElectronicsConnection BatteryUnit DER_633_b_19 DER_633_b_19 tlx_633_b_h_19 s1 _E98D9805-5EE5-4D33-B9B3-3FBA90667BC0 _EB59D63A-FCA0-4EB2-951B-F64E145B1748
PowerElectronicsConnection BatteryUnit DER_633_b_19 DER_633_b_19 tlx_633_b_h_19 s2 _E98D9805-5EE5-4D33-B9B3-3FBA90667BC0 _EB59D63A-FCA0-4EB2-951B-F64E145B1748
PowerElectronicsConnection BatteryUnit DER_633_b_2 DER_633_b_2 tlx_633_b_h_2 SoC _6EC4E897-E62D-4E37-95AD-1840469FFD95 _B78E2156-7355-43B3-93B2-639DF43010FA
PowerElectronicsConnection BatteryUnit DER_633_b_2 DER_633_b_2 tlx_633_b_h_2 s1 _6EC4E897-E62D-4E37-95AD-1840469FFD95 _B78E2156-7355-43B3-93B2-639DF43010FA
PowerElectronicsConnection BatteryUnit DER_633_b_2 DER_633_b_2 tlx_633_b_h_2 s2 _6EC4E897-E62D-4E37-95AD-1840469FFD95 _B78E2156-7355-43B3-93B2-639DF43010FA
PowerElectronicsConnection BatteryUnit DER_633_b_20 DER_633_b_20 tlx_633_b_h_20 SoC _6BE14BEA-E168-49FD-9E6B-73956598AEF1 _B4761869-D36D-4558-9B83-53CA5371B9F4
PowerElectronicsConnection BatteryUnit DER_633_b_20 DER_633_b_20 tlx_633_b_h_20 s1 _6BE14BEA-E168-49FD-9E6B-73956598AEF1 _B4761869-D36D-4558-9B83-53CA5371B9F4
PowerElectronicsConnection BatteryUnit DER_633_b_20 DER_633_b_20 tlx_633_b_h_20 s2 _6BE14BEA-E168-49FD-9E6B-73956598AEF1 _B4761869-D36D-4558-9B83-53CA5371B9F4
PowerElectronicsConnection BatteryUnit DER_633_b_21 DER_633_b_21 tlx_633_b_h_21 SoC _18B16091-585B-4FD5-808A-AD074DCB4A09 _6BD17DEC-6C18-4B52-89E9-E5220088FD93
PowerElectronicsConnection BatteryUnit DER_633_b_21 DER_633_b_21 tlx_633_b_h_21 s1 _18B16091-585B-4FD5-808A-AD074DCB4A09 _6BD17DEC-6C18-4B52-89E9-E5220088FD93
PowerElectronicsConnection BatteryUnit DER_633_b_21 DER_633_b_21 tlx_633_b_h_21 s2 _18B16091-585B-4FD5-808A-AD074DCB4A09 _6BD17DEC-6C18-4B52-89E9-E5220088FD93
PowerElectronicsConnection BatteryUnit DER_633_b_22 DER_633_b_22 tlx_633_b_h_22 SoC _850C4353-AD00-4E73-B4B0-7BC3CABB2B56 _3A7E18A7-B73F-48E0-A7EA-FB2E6D004672
PowerElectronicsConnection BatteryUnit DER_633_b_22 DER_633_b_22 tlx_633_b_h_22 s1 _850C4353-AD00-4E73-B4B0-7BC3CABB2B56 _3A7E18A7-B73F-48E0-A7EA-FB2E6D004672
PowerElectronicsConnection BatteryUnit DER_633_b_22 DER_633_b_22 tlx_633_b_h_22 s2 _850C4353-AD00-4E73-B4B0-7BC3CABB2B56 _3A7E18A7-B73F-48E0-A7EA-FB2E6D004672
PowerElectronicsConnection BatteryUnit DER_633_b_23 DER_633_b_23 tlx_633_b_h_23 SoC _E25B0E9F-CADD-4DD9-B0F0-D8A3A3692CC4 _D2CE625C-1372-4876-AE3B-EADD6760C361
PowerElectronicsConnection BatteryUnit DER_633_b_23 DER_633_b_23 tlx_633_b_h_23 s1 _E25B0E9F-CADD-4DD9-B0F0-D8A3A3692CC4 _D2CE625C-1372-4876-AE3B-EADD6760C361
PowerElectronicsConnection BatteryUnit DER_633_b_23 DER_633_b_23 tlx_633_b_h_23 s2 _E25B0E9F-CADD-4DD9-B0F0-D8A3A3692CC4 _D2CE625C-1372-4876-AE3B-EADD6760C361
PowerElectronicsConnection BatteryUnit DER_633_b_24 DER_633_b_24 tlx_633_b_h_24 SoC _322246A3-D54B-4FA3-B7B1-C019D2EA6A94 _8B1793F2-FCF3-4E01-8396-E797BCF6C824
PowerElectronicsConnection BatteryUnit DER_633_b_24 DER_633_b_24 tlx_633_b_h_24 s1 _322246A3-D54B-4FA3-B7B1-C019D2EA6A94 _8B1793F2-FCF3-4E01-8396-E797BCF6C824
PowerElectronicsConnection BatteryUnit DER_633_b_24 DER_633_b_24 tlx_633_b_h_24 s2 _322246A3-D54B-4FA3-B7B1-C019D2EA6A94 _8B1793F2-FCF3-4E01-8396-E797BCF6C824
PowerElectronicsConnection BatteryUnit DER_633_b_25 DER_633_b_25 tlx_633_b_h_25 SoC _D13A41FF-FA30-4BAD-B3A2-178D99A782B2 _B7B721C6-00F6-4270-AC96-8297B4CD596B
PowerElectronicsConnection BatteryUnit DER_633_b_25 DER_633_b_25 tlx_633_b_h_25 s1 _D13A41FF-FA30-4BAD-B3A2-178D99A782B2 _B7B721C6-00F6-4270-AC96-8297B4CD596B
PowerElectronicsConnection BatteryUnit DER_633_b_25 DER_633_b_25 tlx_633_b_h_25 s2 _D13A41FF-FA30-4BAD-B3A2-178D99A782B2 _B7B721C6-00F6-4270-AC96-8297B4CD596B
PowerElectronicsConnection BatteryUnit DER_633_b_26 DER_633_b_26 tlx_633_b_h_26 SoC _62CBE999-6B7D-4408-B95B-A30189B956C1 _ABEFCBCA-5CAF-4B70-BDC9-2377156A0A93
PowerElectronicsConnection BatteryUnit DER_633_b_26 DER_633_b_26 tlx_633_b_h_26 s1 _62CBE999-6B7D-4408-B95B-A30189B956C1 _ABEFCBCA-5CAF-4B70-BDC9-2377156A0A93
PowerElectronicsConnection BatteryUnit DER_633_b_26 DER_633_b_26 tlx_633_b_h_26 s2 _62CBE999-6B7D-4408-B95B-A30189B956C1 _ABEFCBCA-5CAF-4B70-BDC9-2377156A0A93
PowerElectronicsConnection BatteryUnit DER_633_b_27 DER_633_b_27 tlx_633_b_h_27 SoC _EC521C93-626F-4486-A81B-05A10FAE4308 _13BA3984-372D-403E-A384-EF884396294F
PowerElectronicsConnection BatteryUnit DER_633_b_27 DER_633_b_27 tlx_633_b_h_27 s1 _EC521C93-626F-4486-A81B-05A10FAE4308 _13BA3984-372D-403E-A384-EF884396294F
PowerElectronicsConnection BatteryUnit DER_633_b_27 DER_633_b_27 tlx_633_b_h_27 s2 _EC521C93-626F-4486-A81B-05A10FAE4308 _13BA3984-372D-403E-A384-EF884396294F
PowerElectronicsConnection BatteryUnit DER_633_b_28 DER_633_b_28 tlx_633_b_h_28 SoC _4BC1EFA1-D8B5-49E1-A62D-2DAC32C09E50 _C4688C44-6CA4-4173-B9E3-72D2BB605AF0
PowerElectronicsConnection BatteryUnit DER_633_b_28 DER_633_b_28 tlx_633_b_h_28 s1 _4BC1EFA1-D8B5-49E1-A62D-2DAC32C09E50 _C4688C44-6CA4-4173-B9E3-72D2BB605AF0
PowerElectronicsConnection BatteryUnit DER_633_b_28 DER_633_b_28 tlx_633_b_h_28 s2 _4BC1EFA1-D8B5-49E1-A62D-2DAC32C09E50 _C4688C44-6CA4-4173-B9E3-72D2BB605AF0
PowerElectronicsConnection BatteryUnit DER_633_b_29 DER_633_b_29 tlx_633_b_h_29 SoC _80361A2A-B8BD-4321-B809-8A3B450FB822 _6F2D3FA0-7E7D-482E-9F5E-D826745BCD7C
PowerElectronicsConnection BatteryUnit DER_633_b_29 DER_633_b_29 tlx_633_b_h_29 s1 _80361A2A-B8BD-4321-B809-8A3B450FB822 _6F2D3FA0-7E7D-482E-9F5E-D826745BCD7C
PowerElectronicsConnection BatteryUnit DER_633_b_29 DER_633_b_29 tlx_633_b_h_29 s2 _80361A2A-B8BD-4321-B809-8A3B450FB822 _6F2D3FA0-7E7D-482E-9F5E-D826745BCD7C
PowerElectronicsConnection BatteryUnit DER_633_b_3 DER_633_b_3 tlx_633_b_h_3 SoC _7B7AC0EF-BB40-4023-8675-45D36DDA1B16 _22E9E08F-E8D3-4AE9-B165-6AF339914506
PowerElectronicsConnection BatteryUnit DER_633_b_3 DER_633_b_3 tlx_633_b_h_3 s1 _7B7AC0EF-BB40-4023-8675-45D36DDA1B16 _22E9E08F-E8D3-4AE9-B165-6AF339914506
PowerElectronicsConnection BatteryUnit DER_633_b_3 DER_633_b_3 tlx_633_b_h_3 s2 _7B7AC0EF-BB40-4023-8675-45D36DDA1B16 _22E9E08F-E8D3-4AE9-B165-6AF339914506
PowerElectronicsConnection BatteryUnit DER_633_b_30 DER_633_b_30 tlx_633_b_h_30 SoC _7ECC057F-D4BC-4A35-A1E0-13FD2EDD4515 _5D49F989-88A4-4048-9D20-91F0C08E50FF
PowerElectronicsConnection BatteryUnit DER_633_b_30 DER_633_b_30 tlx_633_b_h_30 s1 _7ECC057F-D4BC-4A35-A1E0-13FD2EDD4515 _5D49F989-88A4-4048-9D20-91F0C08E50FF
PowerElectronicsConnection BatteryUnit DER_633_b_30 DER_633_b_30 tlx_633_b_h_30 s2 _7ECC057F-D4BC-4A35-A1E0-13FD2EDD4515 _5D49F989-88A4-4048-9D20-91F0C08E50FF
PowerElectronicsConnection BatteryUnit DER_633_b_31 DER_633_b_31 tlx_633_b_h_31 SoC _BF809FFC-9ABE-4975-9729-3D2EDF4F6E1B _2E0E53E3-AD63-4F06-9375-4297130E0A16
PowerElectronicsConnection BatteryUnit DER_633_b_31 DER_633_b_31 tlx_633_b_h_31 s1 _BF809FFC-9ABE-4975-9729-3D2EDF4F6E1B _2E0E53E3-AD63-4F06-9375-4297130E0A16
PowerElectronicsConnection BatteryUnit DER_633_b_31 DER_633_b_31 tlx_633_b_h_31 s2 _BF809FFC-9ABE-4975-9729-3D2EDF4F6E1B _2E0E53E3-AD63-4F06-9375-4297130E0A16
PowerElectronicsConnection BatteryUnit DER_633_b_32 DER_633_b_32 tlx_633_b_h_32 SoC _B3A44F8B-E6B7-431D-B2D4-A963C2FFEB48 _E694F544-0C09-4F47-9324-C1474D2C6FBE
PowerElectronicsConnection BatteryUnit DER_633_b_32 DER_633_b_32 tlx_633_b_h_32 s1 _B3A44F8B-E6B7-431D-B2D4-A963C2FFEB48 _E694F544-0C09-4F47-9324-C1474D2C6FBE
PowerElectronicsConnection BatteryUnit DER_633_b_32 DER_633_b_32 tlx_633_b_h_32 s2 _B3A44F8B-E6B7-431D-B2D4-A963C2FFEB48 _E694F544-0C09-4F47-9324-C1474D2C6FBE
PowerElectronicsConnection BatteryUnit DER_633_b_33 DER_633_b_33 tlx_633_b_h_33 SoC _CB720323-B0D6-4687-8B23-192A22CE47CB _C59BC1E2-A0CA-439D-AF01-AF59B25E0B56
PowerElectronicsConnection BatteryUnit DER_633_b_33 DER_633_b_33 tlx_633_b_h_33 s1 _CB720323-B0D6-4687-8B23-192A22CE47CB _C59BC1E2-A0CA-439D-AF01-AF59B25E0B56
PowerElectronicsConnection BatteryUnit DER_633_b_33 DER_633_b_33 tlx_633_b_h_33 s2 _CB720323-B0D6-4687-8B23-192A22CE47CB _C59BC1E2-A0CA-439D-AF01-AF59B25E0B56
PowerElectronicsConnection BatteryUnit DER_633_b_34 DER_633_b_34 tlx_633_b_h_34 SoC _920A9CD1-56AD-4DB0-8B3F-79B6B1222BB8 _23ECFC28-AFA1-4DA4-9EA0-1298A8105664
PowerElectronicsConnection BatteryUnit DER_633_b_34 DER_633_b_34 tlx_633_b_h_34 s1 _920A9CD1-56AD-4DB0-8B3F-79B6B1222BB8 _23ECFC28-AFA1-4DA4-9EA0-1298A8105664
PowerElectronicsConnection BatteryUnit DER_633_b_34 DER_633_b_34 tlx_633_b_h_34 s2 _920A9CD1-56AD-4DB0-8B3F-79B6B1222BB8 _23ECFC28-AFA1-4DA4-9EA0-1298A8105664
PowerElectronicsConnection BatteryUnit DER_633_b_35 DER_633_b_35 tlx_633_b_h_35 SoC _DE450C42-6C47-4F3C-B0AA-7AB64F737F6B _DED2EE8E-C8D6-40D4-98C1-7E91E93C4B88
PowerElectronicsConnection BatteryUnit DER_633_b_35 DER_633_b_35 tlx_633_b_h_35 s1 _DE450C42-6C47-4F3C-B0AA-7AB64F737F6B _DED2EE8E-C8D6-40D4-98C1-7E91E93C4B88
PowerElectronicsConnection BatteryUnit DER_633_b_35 DER_633_b_35 tlx_633_b_h_35 s2 _DE450C42-6C47-4F3C-B0AA-7AB64F737F6B _DED2EE8E-C8D6-40D4-98C1-7E91E93C4B88
PowerElectronicsConnection BatteryUnit DER_633_b_36 DER_633_b_36 tlx_633_b_h_36 SoC _5C3DE7D9-452D-4796-A2B5-77CF799327FF _1A4C88CC-E059-43AF-BBCC-4A5EFD56C23E
PowerElectronicsConnection BatteryUnit DER_633_b_36 DER_633_b_36 tlx_633_b_h_36 s1 _5C3DE7D9-452D-4796-A2B5-77CF799327FF _1A4C88CC-E059-43AF-BBCC-4A5EFD56C23E
