LinearShuntCompensator cap2 n611 C _914AAA0D-2390-4529-AB33-AEE59E116A6E _4D4249B6-B1C1-4FFB-923B-8E1FE55E8212
LinearShuntCompensator cap1 n675 A _7C6EAEF9-003B-4DF0-AEAE-672CB06A1A11 _55B6FCAE-2AAD-4446-ABC5-5B74EF3989F4
LinearShuntCompensator cap1 n675 B _7C6EAEF9-003B-4DF0-AEAE-672CB06A1A11 _55B6FCAE-2AAD-4446-ABC5-5B74EF3989F4
LinearShuntCompensator cap1 n675 C _7C6EAEF9-003B-4DF0-AEAE-672CB06A1A11 _55B6FCAE-2AAD-4446-ABC5-5B74EF3989F4
PowerTransformer RatioTapChanger Reg 2 rg60 A _3508623F-8B18-43E5-9C47-076265A27FC5 _DEF7E7E5-E406-4D86-8437-C9DB746F5C18
PowerElectronicsConnection BatteryUnit trip_load_633_a_20 trip_load_633_a_20_Battery tlx_633_a_h_20 s2 _CC0936A7-EC9E-49B1-A5A8-B220752D5EF9 _F6B2C2DD-9B71-4EB2-B215-E0210572F95F
PowerElectronicsConnection BatteryUnit trip_load_633_a_21 trip_load_633_a_21_Battery tlx_633_a_h_21 SoC _ED89B4E1-072D-4E5D-A68E-745692B50FC8 _D31139E8-D27D-48E1-8E1C-EB93B3D15BBA
PowerElectronicsConnection BatteryUnit trip_load_633_a_21 trip_load_633_a_21_Battery tlx_633_a_h_21 s1 _ED89B4E1-072D-4E5D-A68E-745692B50FC8 _D31139E8-D27D-48E1-8E1C-EB93B3D15BBA
PowerElectronicsConnection BatteryUnit trip_load_633_a_21 trip_load_633_a_21_Battery tlx_633_a_h_21 s2 _ED89B4E1-072D-4E5D-A68E-745692B50FC8 _D31139E8-D27D-48E1-8E1C-EB93B3D15BBA
PowerElectronicsConnection BatteryUnit trip_load_633_a_22 trip_load_633_a_22_Battery tlx_633_a_h_22 SoC _8FD613D9-081A-4DFE-AAF4-9A0F6E6C22F0 _B2AD33FB-30E2-460C-B8D0-4D54E6422086
PowerElectronicsConnection BatteryUnit trip_load_633_a_22 trip_load_633_a_22_Battery tlx_633_a_h_22 s1 _8FD613D9-081A-4DFE-AAF4-9A0F6E6C22F0 _B2AD33FB-30E2-460C-B8D0-4D54E6422086
PowerElectronicsConnection BatteryUnit trip_load_633_a_22 trip_load_633_a_22_Battery tlx_633_a_h_22 s2 _8FD613D9-081A-4DFE-AAF4-9A0F6E6C22F0 _B2AD33FB-30E2-460C-B8D0-4D54E6422086
PowerElectronicsConnection BatteryUnit trip_load_633_a_23 trip_load_633_a_23_Battery tlx_633_a_h_23 SoC _5D0FF4DA-17D5-4049-81AA-A62CE27336BA _89DB3A76-A267-4DD7-B306-71CCB2B9DD69
PowerElectronicsConnection BatteryUnit trip_load_633_a_23 trip_load_633_a_23_Battery tlx_633_a_h_23 s1 _5D0FF4DA-17D5-4049-81AA-A62CE27336BA _89DB3A76-A267-4DD7-B306-71CCB2B9DD69
PowerElectronicsConnection BatteryUnit trip_load_633_a_23 trip_load_633_a_23_Battery tlx_633_a_h_23 s2 _5D0FF4DA-17D5-4049-81AA-A62CE27336BA _89DB3A76-A267-4DD7-B306-71CCB2B9DD69
PowerElectronicsConnection BatteryUnit trip_load_633_a_24 trip_load_633_a_24_Battery tlx_633_a_h_24 SoC _44F9D2E0-CB49-4E23-8837-624A1EB3F38D _3A199185-167C-4671-9D1C-CADADEEA5C5C
PowerElectronicsConnection BatteryUnit trip_load_633_a_24 trip_load_633_a_24_Battery tlx_633_a_h_24 s1 _44F9D2E0-CB49-4E23-8837-624A1EB3F38D _3A199185-167C-4671-9D1C-CADADEEA5C5C
PowerElectronicsConnection BatteryUnit trip_load_633_a_24 trip_load_633_a_24_Battery tlx_633_a_h_24 s2 _44F9D2E0-CB49-4E23-8837-624A1EB3F38D _3A199185-167C-4671-9D1C-CADADEEA5C5C
PowerElectronicsConnection BatteryUnit trip_load_633_a_25 trip_load_633_a_25_Battery tlx_633_a_h_25 SoC _2C479A55-FB1B-425B-A2F5-6A8C98E7AF3C _B723DE06-07D7-4BC2-9540-6C80638586C4
PowerElectronicsConnection BatteryUnit trip_load_633_a_25 trip_load_633_a_25_Battery tlx_633_a_h_25 s1 _2C479A55-FB1B-425B-A2F5-6A8C98E7AF3C _B723DE06-07D7-4BC2-9540-6C80638586C4
PowerElectronicsConnection BatteryUnit trip_load_633_a_25 trip_load_633_a_25_Battery tlx_633_a_h_25 s2 _2C479A55-FB1B-425B-A2F5-6A8C98E7AF3C _B723DE06-07D7-4BC2-9540-6C80638586C4
PowerElectronicsConnection BatteryUnit trip_load_633_a_26 trip_load_633_a_26_Battery tlx_633_a_h_26 SoC _FFEB135E-B004-4ABE-8233-FA4491E1EC5F _7E07F3A7-B716-4FCC-BF1F-1FF60BC6BC86
PowerElectronicsConnection BatteryUnit trip_load_633_a_26 trip_load_633_a_26_Battery tlx_633_a_h_26 s1 _FFEB135E-B004-4ABE-8233-FA4491E1EC5F _7E07F3A7-B716-4FCC-BF1F-1FF60BC6BC86
PowerElectronicsConnection BatteryUnit trip_load_633_a_26 trip_load_633_a_26_Battery tlx_633_a_h_26 s2 _FFEB135E-B004-4ABE-8233-FA4491E1EC5F _7E07F3A7-B716-4FCC-BF1F-1FF60BC6BC86
PowerElectronicsConnection BatteryUnit trip_load_633_a_27 trip_load_633_a_27_Battery tlx_633_a_h_27 SoC _D1898079-1E02-417C-9DB5-E522CF930F86 _F27B18BE-8178-43CC-92C2-362E87D7EA03
PowerElectronicsConnection BatteryUnit trip_load_633_a_27 trip_load_633_a_27_Battery tlx_633_a_h_27 s1 _D1898079-1E02-417C-9DB5-E522CF930F86 _F27B18BE-8178-43CC-92C2-362E87D7EA03
PowerElectronicsConnection BatteryUnit trip_load_633_a_27 trip_load_633_a_27_Battery tlx_633_a_h_27 s2 _D1898079-1E02-417C-9DB5-E522CF930F86 _F27B18BE-8178-43CC-92C2-362E87D7EA03
PowerElectronicsConnection BatteryUnit trip_load_633_a_28 trip_load_633_a_28_Battery tlx_633_a_h_28 SoC _2818664D-DE29-4959-9202-C22779C4395F _EB4970F3-55FD-41C5-B942-E58C66FCD083
PowerElectronicsConnection BatteryUnit trip_load_633_a_28 trip_load_633_a_28_Battery tlx_633_a_h_28 s1 _2818664D-DE29-4959-9202-C22779C4395F _EB4970F3-55FD-41C5-B942-E58C66FCD083
PowerElectronicsConnection BatteryUnit trip_load_633_a_28 trip_load_633_a_28_Battery tlx_633_a_h_28 s2 _2818664D-DE29-4959-9202-C22779C4395F _EB4970F3-55FD-41C5-B942-E58C66FCD083
PowerElectronicsConnection BatteryUnit trip_load_633_a_29 trip_load_633_a_29_Battery tlx_633_a_h_29 SoC _7AB0CD7F-5954-4575-80E6-119589C3A1A7 _83FB39AC-D5D3-4278-B91E-40BEBE1D80B7
PowerElectronicsConnection BatteryUnit trip_load_633_a_29 trip_load_633_a_29_Battery tlx_633_a_h_29 s1 _7AB0CD7F-5954-4575-80E6-119589C3A1A7 _83FB39AC-D5D3-4278-B91E-40BEBE1D80B7
PowerElectronicsConnection BatteryUnit trip_load_633_a_29 trip_load_633_a_29_Battery tlx_633_a_h_29 s2 _7AB0CD7F-5954-4575-80E6-119589C3A1A7 _83FB39AC-D5D3-4278-B91E-40BEBE1D80B7
PowerElectronicsConnection BatteryUnit trip_load_633_a_3 trip_load_633_a_3_Battery tlx_633_a_h_3 SoC _1F914B7B-0D18-458E-961A-A24AD544B177 _6A607167-E77D-4757-BB33-61F15963CD28
PowerElectronicsConnection BatteryUnit trip_load_633_a_3 trip_load_633_a_3_Battery tlx_633_a_h_3 s1 _1F914B7B-0D18-458E-961A-A24AD544B177 _6A607167-E77D-4757-BB33-61F15963CD28
PowerElectronicsConnection BatteryUnit trip_load_633_a_3 trip_load_633_a_3_Battery tlx_633_a_h_3 s2 _1F914B7B-0D18-458E-961A-A24AD544B177 _6A607167-E77D-4757-BB33-61F15963CD28
PowerElectronicsConnection BatteryUnit trip_load_633_a_30 trip_load_633_a_30_Battery tlx_633_a_h_30 SoC _583E3D5C-BCF5-421C-A536-926BC94F329D _809DCCEE-ABB5-4C34-8BE1-11C7B1ECAA93
PowerElectronicsConnection BatteryUnit trip_load_633_a_30 trip_load_633_a_30_Battery tlx_633_a_h_30 s1 _583E3D5C-BCF5-421C-A536-926BC94F329D _809DCCEE-ABB5-4C34-8BE1-11C7B1ECAA93
PowerElectronicsConnection BatteryUnit trip_load_633_a_30 trip_load_633_a_30_Battery tlx_633_a_h_30 s2 _583E3D5C-BCF5-421C-A536-926BC94F329D _809DCCEE-ABB5-4C34-8BE1-11C7B1ECAA93
PowerElectronicsConnection BatteryUnit trip_load_633_a_31 trip_load_633_a_31_Battery tlx_633_a_h_31 SoC _11D8CAD9-437E-4890-A149-ACB85202516A _8FB01FE4-89DE-4F0A-A0B1-FC1E5B37183C
PowerElectronicsConnection BatteryUnit trip_load_633_a_31 trip_load_633_a_31_Battery tlx_633_a_h_31 s1 _11D8CAD9-437E-4890-A149-ACB85202516A _8FB01FE4-89DE-4F0A-A0B1-FC1E5B37183C
PowerElectronicsConnection BatteryUnit trip_load_633_a_31 trip_load_633_a_31_Battery tlx_633_a_h_31 s2 _11D8CAD9-437E-4890-A149-ACB85202516A _8FB01FE4-89DE-4F0A-A0B1-FC1E5B37183C
PowerElectronicsConnection BatteryUnit trip_load_633_a_32 trip_load_633_a_32_Battery tlx_633_a_h_32 SoC _BF86D516-3225-4A49-B3B2-E6DBC2C30F82 _090B0D6A-2FFB-4495-A0CA-0B57A01D062D
PowerElectronicsConnection BatteryUnit trip_load_633_a_32 trip_load_633_a_32_Battery tlx_633_a_h_32 s1 _BF86D516-3225-4A49-B3B2-E6DBC2C30F82 _090B0D6A-2FFB-4495-A0CA-0B57A01D062D
PowerElectronicsConnection BatteryUnit trip_load_633_a_32 trip_load_633_a_32_Battery tlx_633_a_h_32 s2 _BF86D516-3225-4A49-B3B2-E6DBC2C30F82 _090B0D6A-2FFB-4495-A0CA-0B57A01D062D
PowerElectronicsConnection BatteryUnit trip_load_633_a_33 trip_load_633_a_33_Battery tlx_633_a_h_33 SoC _450E7640-AF67-4359-9B23-45F0168BB6ED _2A06631D-021F-44AA-BDDB-DBAF755FD630
PowerElectronicsConnection BatteryUnit trip_load_633_a_33 trip_load_633_a_33_Battery tlx_633_a_h_33 s1 _450E7640-AF67-4359-9B23-45F0168BB6ED _2A06631D-021F-44AA-BDDB-DBAF755FD630
PowerElectronicsConnection BatteryUnit trip_load_633_a_33 trip_load_633_a_33_Battery tlx_633_a_h_33 s2 _450E7640-AF67-4359-9B23-45F0168BB6ED _2A06631D-021F-44AA-BDDB-DBAF755FD630
PowerElectronicsConnection BatteryUnit trip_load_633_a_34 trip_load_633_a_34_Battery tlx_633_a_h_34 SoC _FCDE84F1-5F74-4C8E-BD06-B5D1A41896B2 _EDCAF1CF-1733-475B-B317-04534CDD4F32
PowerElectronicsConnection BatteryUnit trip_load_633_a_34 trip_load_633_a_34_Battery tlx_633_a_h_34 s1 _FCDE84F1-5F74-4C8E-BD06-B5D1A41896B2 _EDCAF1CF-1733-475B-B317-04534CDD4F32
PowerElectronicsConnection BatteryUnit trip_load_633_a_34 trip_load_633_a_34_Battery tlx_633_a_h_34 s2 _FCDE84F1-5F74-4C8E-BD06-B5D1A41896B2 _EDCAF1CF-1733-475B-B317-04534CDD4F32
PowerElectronicsConnection BatteryUnit trip_load_633_a_35 trip_load_633_a_35_Battery tlx_633_a_h_35 SoC _F2C98688-1FB7-4442-BE5C-E3AA2D8CC2E4 _96A22900-D4D1-452E-993C-31B95EE6F58C
PowerElectronicsConnection BatteryUnit trip_load_633_a_35 trip_load_633_a_35_Battery tlx_633_a_h_35 s1 _F2C98688-1FB7-4442-BE5C-E3AA2D8CC2E4 _96A22900-D4D1-452E-993C-31B95EE6F58C
PowerElectronicsConnection BatteryUnit trip_load_633_a_35 trip_load_633_a_35_Battery tlx_633_a_h_35 s2 _F2C98688-1FB7-4442-BE5C-E3AA2D8CC2E4 _96A22900-D4D1-452E-993C-31B95EE6F58C
PowerElectronicsConnection BatteryUnit trip_load_633_a_36 trip_load_633_a_36_Battery tlx_633_a_h_36 SoC _B9A233C9-E241-4FB7-AB99-CE6D4EB6AD9B _08A14515-4971-4B10-A346-DE61366DE2A9
PowerElectronicsConnection BatteryUnit trip_load_633_a_36 trip_load_633_a_36_Battery tlx_633_a_h_36 s1 _B9A233C9-E241-4FB7-AB99-CE6D4EB6AD9B _08A14515-4971-4B10-A346-DE61366DE2A9
PowerElectronicsConnection BatteryUnit trip_load_633_a_36 trip_load_633_a_36_Battery tlx_633_a_h_36 s2 _B9A233C9-E241-4FB7-AB99-CE6D4EB6AD9B _08A14515-4971-4B10-A346-DE61366DE2A9
PowerElectronicsConnection BatteryUnit trip_load_633_a_37 trip_load_633_a_37_Battery tlx_633_a_h_37 SoC _8172FBEF-3106-45DB-B33F-88476778FCA6 _F4323248-1A52-4DF4-9B39-F6D381DD2627
PowerElectronicsConnection BatteryUnit trip_load_633_a_37 trip_load_633_a_37_Battery tlx_633_a_h_37 s1 _8172FBEF-3106-45DB-B33F-88476778FCA6 _F4323248-1A52-4DF4-9B39-F6D381DD2627
PowerElectronicsConnection BatteryUnit trip_load_633_a_37 trip_load_633_a_37_Battery tlx_633_a_h_37 s2 _8172FBEF-3106-45DB-B33F-88476778FCA6 _F4323248-1A52-4DF4-9B39-F6D381DD2627
PowerElectronicsConnection BatteryUnit trip_load_633_a_38 trip_load_633_a_38_Battery tlx_633_a_h_38 SoC _9E286CAC-9BD6-45A3-B5E3-585FA58B1C9C _631EA62E-8B70-468F-8F12-7D86F1595369
PowerElectronicsConnection BatteryUnit trip_load_633_a_38 trip_load_633_a_38_Battery tlx_633_a_h_38 s1 _9E286CAC-9BD6-45A3-B5E3-585FA58B1C9C _631EA62E-8B70-468F-8F12-7D86F1595369
PowerElectronicsConnection BatteryUnit trip_load_633_a_38 trip_load_633_a_38_Battery tlx_633_a_h_38 s2 _9E286CAC-9BD6-45A3-B5E3-585FA58B1C9C _631EA62E-8B70-468F-8F12-7D86F1595369
PowerElectronicsConnection BatteryUnit trip_load_633_a_39 trip_load_633_a_39_Battery tlx_633_a_h_39 SoC _322E0574-457B-4C8F-8283-A0A70D8FB97B _E8F1DD53-B0E4-4CC2-88AB-6E4E17B3B678
PowerElectronicsConnection BatteryUnit trip_load_633_a_39 trip_load_633_a_39_Battery tlx_633_a_h_39 s1 _322E0574-457B-4C8F-8283-A0A70D8FB97B _E8F1DD53-B0E4-4CC2-88AB-6E4E17B3B678
PowerElectronicsConnection BatteryUnit trip_load_633_a_39 trip_load_633_a_39_Battery tlx_633_a_h_39 s2 _322E0574-457B-4C8F-8283-A0A70D8FB97B _E8F1DD53-B0E4-4CC2-88AB-6E4E17B3B678
PowerElectronicsConnection BatteryUnit trip_load_633_a_4 trip_load_633_a_4_Battery tlx_633_a_h_4 SoC _2CCF64C2-65D2-49ED-AC4F-74AA18D06F93 _45C54885-077C-4606-93E6-131BE0943F3D
PowerElectronicsConnection BatteryUnit trip_load_633_a_4 trip_load_633_a_4_Battery tlx_633_a_h_4 s1 _2CCF64C2-65D2-49ED-AC4F-74AA18D06F93 _45C54885-077C-4606-93E6-131BE0943F3D
PowerElectronicsConnection BatteryUnit trip_load_633_a_4 trip_load_633_a_4_Battery tlx_633_a_h_4 s2 _2CCF64C2-65D2-49ED-AC4F-74AA18D06F93 _45C54885-077C-4606-93E6-131BE0943F3D
PowerElectronicsConnection BatteryUnit trip_load_633_a_40 trip_load_633_a_40_Battery tlx_633_a_h_40 SoC _687FF549-DA1C-4635-B631-CF59913C1402 _4DB70859-EF7F-4746-82FC-6449BB8180D0
PowerElectronicsConnection BatteryUnit trip_load_633_a_40 trip_load_633_a_40_Battery tlx_633_a_h_40 s1 _687FF549-DA1C-4635-B631-CF59913C1402 _4DB70859-EF7F-4746-82FC-6449BB8180D0
PowerElectronicsConnection BatteryUnit trip_load_633_a_40 trip_load_633_a_40_Battery tlx_633_a_h_40 s2 _687FF549-DA1C-4635-B631-CF59913C1402 _4DB70859-EF7F-4746-82FC-6449BB8180D0
PowerElectronicsConnection BatteryUnit trip_load_633_a_5 trip_load_633_a_5_Battery tlx_633_a_h_5 SoC _DE1A1919-3A6A-4376-84DF-2CAFC9E07E3A _4C000572-D1A7-40A0-AB54-4748068E2E6F
PowerElectronicsConnection BatteryUnit trip_load_633_a_5 trip_load_633_a_5_Battery tlx_633_a_h_5 s1 _DE1A1919-3A6A-4376-84DF-2CAFC9E07E3A _4C000572-D1A7-40A0-AB54-4748068E2E6F
PowerElectronicsConnection BatteryUnit trip_load_633_a_5 trip_load_633_a_5_Battery tlx_633_a_h_5 s2 _DE1A1919-3A6A-4376-84DF-2CAFC9E07E3A _4C000572-D1A7-40A0-AB54-4748068E2E6F
PowerElectronicsConnection BatteryUnit trip_load_633_a_6 trip_load_633_a_6_Battery tlx_633_a_h_6 SoC _8292EA80-102C-4348-AE3E-7D17722B071E _E86F63B0-2190-40EF-8B13-D6D37B7022FB
PowerElectronicsConnection BatteryUnit trip_load_633_a_6 trip_load_633_a_6_Battery tlx_633_a_h_6 s1 _8292EA80-102C-4348-AE3E-7D17722B071E _E86F63B0-2190-40EF-8B13-D6D37B7022FB
PowerElectronicsConnection BatteryUnit trip_load_633_a_6 trip_load_633_a_6_Battery tlx_633_a_h_6 s2 _8292EA80-102C-4348-AE3E-7D17722B071E _E86F63B0-2190-40EF-8B13-D6D37B7022FB
PowerElectronicsConnection BatteryUnit trip_load_633_a_7 trip_load_633_a_7_Battery tlx_633_a_h_7 SoC _9FC7C6DC-00EE-49D5-9409-D9146A19A2BC _37106258-1C02-45BA-98F3-5B576611CE2F
PowerElectronicsConnection BatteryUnit trip_load_633_a_7 trip_load_633_a_7_Battery tlx_633_a_h_7 s1 _9FC7C6DC-00EE-49D5-9409-D9146A19A2BC _37106258-1C02-45BA-98F3-5B576611CE2F
PowerElectronicsConnection BatteryUnit trip_load_633_a_7 trip_load_633_a_7_Battery tlx_633_a_h_7 s2 _9FC7C6DC-00EE-49D5-9409-D9146A19A2BC _37106258-1C02-45BA-98F3-5B576611CE2F
PowerElectronicsConnection BatteryUnit trip_load_633_a_8 trip_load_633_a_8_Battery tlx_633_a_h_8 SoC _C1050AAD-27B0-4408-A9AE-929F76F996DB _920BE881-6040-4B4A-959C-3EC1A9B9CBDE
PowerElectronicsConnection BatteryUnit trip_load_633_a_8 trip_load_633_a_8_Battery tlx_633_a_h_8 s1 _C1050AAD-27B0-4408-A9AE-929F76F996DB _920BE881-6040-4B4A-959C-3EC1A9B9CBDE
PowerElectronicsConnection BatteryUnit trip_load_633_a_8 trip_load_633_a_8_Battery tlx_633_a_h_8 s2 _C1050AAD-27B0-4408-A9AE-929F76F996DB _920BE881-6040-4B4A-959C-3EC1A9B9CBDE
PowerElectronicsConnection BatteryUnit trip_load_633_a_9 trip_load_633_a_9_Battery tlx_633_a_h_9 SoC _AF8E5B26-0108-4D95-9C55-8C2D2D749298 _4D45506D-6389-4DD0-AA40-C50498EC38A1
PowerElectronicsConnection BatteryUnit trip_load_633_a_9 trip_load_633_a_9_Battery tlx_633_a_h_9 s1 _AF8E5B26-0108-4D95-9C55-8C2D2D749298 _4D45506D-6389-4DD0-AA40-C50498EC38A1
PowerElectronicsConnection BatteryUnit trip_load_633_a_9 trip_load_633_a_9_Battery tlx_633_a_h_9 s2 _AF8E5B26-0108-4D95-9C55-8C2D2D749298 _4D45506D-6389-4DD0-AA40-C50498EC38A1
PowerElectronicsConnection BatteryUnit trip_load_633_b_1 trip_load_633_b_1_Battery tlx_633_b_h_1 SoC _03267270-805D-404A-8BC6-7972058F381A _C1965989-0A9A-4910-A134-FEF59C4A9048
PowerElectronicsConnection BatteryUnit trip_load_633_b_1 trip_load_633_b_1_Battery tlx_633_b_h_1 s1 _03267270-805D-404A-8BC6-7972058F381A _C1965989-0A9A-4910-A134-FEF59C4A9048
PowerElectronicsConnection BatteryUnit trip_load_633_b_1 trip_load_633_b_1_Battery tlx_633_b_h_1 s2 _03267270-805D-404A-8BC6-7972058F381A _C1965989-0A9A-4910-A134-FEF59C4A9048
PowerElectronicsConnection BatteryUnit trip_load_633_b_10 trip_load_633_b_10_Battery tlx_633_b_h_10 SoC _CEC3914C-7C4F-45EF-A6CB-725DFC0A3734 _25C5DFA0-F17E-4F4B-BD46-0ADBF7A158B3
PowerElectronicsConnection BatteryUnit trip_load_633_b_10 trip_load_633_b_10_Battery tlx_633_b_h_10 s1 _CEC3914C-7C4F-45EF-A6CB-725DFC0A3734 _25C5DFA0-F17E-4F4B-BD46-0ADBF7A158B3
PowerElectronicsConnection BatteryUnit trip_load_633_b_10 trip_load_633_b_10_Battery tlx_633_b_h_10 s2 _CEC3914C-7C4F-45EF-A6CB-725DFC0A3734 _25C5DFA0-F17E-4F4B-BD46-0ADBF7A158B3
PowerElectronicsConnection BatteryUnit trip_load_633_b_11 trip_load_633_b_11_Battery tlx_633_b_h_11 SoC _DB325033-4F88-4748-8B24-E89654E58CF8 _6FCE9B65-F984-413F-A6B6-CA49B20A2025
PowerElectronicsConnection BatteryUnit trip_load_633_b_11 trip_load_633_b_11_Battery tlx_633_b_h_11 s1 _DB325033-4F88-4748-8B24-E89654E58CF8 _6FCE9B65-F984-413F-A6B6-CA49B20A2025
PowerElectronicsConnection BatteryUnit trip_load_633_b_11 trip_load_633_b_11_Battery tlx_633_b_h_11 s2 _DB325033-4F88-4748-8B24-E89654E58CF8 _6FCE9B65-F984-413F-A6B6-CA49B20A2025
PowerElectronicsConnection BatteryUnit trip_load_633_b_12 trip_load_633_b_12_Battery tlx_633_b_h_12 SoC _082FEE1B-BED7-4DC5-9128-49C0794EE93E _2B9D9BFE-9CA1-4C69-9387-B4D4BD7C324E
PowerElectronicsConnection BatteryUnit trip_load_633_b_12 trip_load_633_b_12_Battery tlx_633_b_h_12 s1 _082FEE1B-BED7-4DC5-9128-49C0794EE93E _2B9D9BFE-9CA1-4C69-9387-B4D4BD7C324E
PowerElectronicsConnection BatteryUnit trip_load_633_b_12 trip_load_633_b_12_Battery tlx_633_b_h_12 s2 _082FEE1B-BED7-4DC5-9128-49C0794EE93E _2B9D9BFE-9CA1-4C69-9387-B4D4BD7C324E
PowerElectronicsConnection BatteryUnit trip_load_633_b_13 trip_load_633_b_13_Battery tlx_633_b_h_13 SoC _06228309-57E9-4DD4-B6E0-EBEAFEAD2F89 _08074FE0-A439-41B1-AA9D-35D7B131DE7C
PowerElectronicsConnection BatteryUnit trip_load_633_b_13 trip_load_633_b_13_Battery tlx_633_b_h_13 s1 _06228309-57E9-4DD4-B6E0-EBEAFEAD2F89 _08074FE0-A439-41B1-AA9D-35D7B131DE7C
PowerElectronicsConnection BatteryUnit trip_load_633_b_13 trip_load_633_b_13_Battery tlx_633_b_h_13 s2 _06228309-57E9-4DD4-B6E0-EBEAFEAD2F89 _08074FE0-A439-41B1-AA9D-35D7B131DE7C
PowerElectronicsConnection BatteryUnit trip_load_633_b_14 trip_load_633_b_14_Battery tlx_633_b_h_14 SoC _B54EB550-2E9B-4B41-BB43-F488EBA5EF7F _E2E99FE2-2A60-4B02-B220-209DC3842EBD
PowerElectronicsConnection BatteryUnit trip_load_633_b_14 trip_load_633_b_14_Battery tlx_633_b_h_14 s1 _B54EB550-2E9B-4B41-BB43-F488EBA5EF7F _E2E99FE2-2A60-4B02-B220-209DC3842EBD
PowerElectronicsConnection BatteryUnit trip_load_633_b_14 trip_load_633_b_14_Battery tlx_633_b_h_14 s2 _B54EB550-2E9B-4B41-BB43-F488EBA5EF7F _E2E99FE2-2A60-4B02-B220-209DC3842EBD
PowerElectronicsConnection BatteryUnit trip_load_633_b_15 trip_load_633_b_15_Battery tlx_633_b_h_15 SoC _7F62B278-A8B2-4376-A19A-2DE44377C28A _61CC55E5-1E8A-44E9-A66F-6058A0B619ED
PowerElectronicsConnection BatteryUnit trip_load_633_b_15 trip_load_633_b_15_Battery tlx_633_b_h_15 s1 _7F62B278-A8B2-4376-A19A-2DE44377C28A _61CC55E5-1E8A-44E9-A66F-6058A0B619ED
PowerElectronicsConnection BatteryUnit trip_load_633_b_15 trip_load_633_b_15_Battery tlx_633_b_h_15 s2 _7F62B278-A8B2-4376-A19A-2DE44377C28A _61CC55E5-1E8A-44E9-A66F-6058A0B619ED
PowerElectronicsConnection BatteryUnit trip_load_633_b_16 trip_load_633_b_16_Battery tlx_633_b_h_16 SoC _62232F21-9FD8-4A76-810D-E99C937CCF70 _97497CFE-63E5-4471-9BD2-5F8FF5B0BDCD
PowerElectronicsConnection BatteryUnit trip_load_633_b_16 trip_load_633_b_16_Battery tlx_633_b_h_16 s1 _62232F21-9FD8-4A76-810D-E99C937CCF70 _97497CFE-63E5-4471-9BD2-5F8FF5B0BDCD
PowerElectronicsConnection BatteryUnit trip_load_633_b_16 trip_load_633_b_16_Battery tlx_633_b_h_16 s2 _62232F21-9FD8-4A76-810D-E99C937CCF70 _97497CFE-63E5-4471-9BD2-5F8FF5B0BDCD
PowerElectronicsConnection BatteryUnit trip_load_633_b_17 trip_load_633_b_17_Battery tlx_633_b_h_17 SoC _3E23FBFF-9DD9-41CC-9FD6-36D61E132D33 _C153545E-3366-4E9B-BABD-EE37C9A7F8AB
PowerElectronicsConnection BatteryUnit trip_load_633_b_17 trip_load_633_b_17_Battery tlx_633_b_h_17 s1 _3E23FBFF-9DD9-41CC-9FD6-36D61E132D33 _C153545E-3366-4E9B-BABD-EE37C9A7F8AB
PowerElectronicsConnection BatteryUnit trip_load_633_b_17 trip_load_633_b_17_Battery tlx_633_b_h_17 s2 _3E23FBFF-9DD9-41CC-9FD6-36D61E132D33 _C153545E-3366-4E9B-BABD-EE37C9A7F8AB
PowerElectronicsConnection BatteryUnit trip_load_633_b_18 trip_load_633_b_18_Battery tlx_633_b_h_18 SoC _7BC0E6B8-5584-4AAF-94D0-C84685A01CFF _1F862C6A-C864-4878-A86E-1D031246C1BB
PowerElectronicsConnection BatteryUnit trip_load_633_b_18 trip_load_633_b_18_Battery tlx_633_b_h_18 s1 _7BC0E6B8-5584-4AAF-94D0-C84685A01CFF _1F862C6A-C864-4878-A86E-1D031246C1BB
PowerElectronicsConnection BatteryUnit trip_load_633_b_18 trip_load_633_b_18_Battery tlx_633_b_h_18 s2 _7BC0E6B8-5584-4AAF-94D0-C84685A01CFF _1F862C6A-C864-4878-A86E-1D031246C1BB
PowerElectronicsConnection BatteryUnit trip_load_633_b_19 trip_load_633_b_19_Battery tlx_633_b_h_19 SoC _FA2B9D89-C7B9-49F0-81C5-81A8EB921677 _60BE6FC6-1D85-4182-B331-4BC82B3F4819
PowerElectronicsConnection BatteryUnit trip_load_633_b_19 trip_load_633_b_19_Battery tlx_633_b_h_19 s1 _FA2B9D89-C7B9-49F0-81C5-81A8EB921677 _60BE6FC6-1D85-4182-B331-4BC82B3F4819
PowerElectronicsConnection BatteryUnit trip_load_633_b_19 trip_load_633_b_19_Battery tlx_633_b_h_19 s2 _FA2B9D89-C7B9-49F0-81C5-81A8EB921677 _60BE6FC6-1D85-4182-B331-4BC82B3F4819
PowerElectronicsConnection BatteryUnit trip_load_633_b_2 trip_load_633_b_2_Battery tlx_633_b_h_2 SoC _F95848B9-E067-47DA-9C68-82CF761F302E _B00301D0-60BD-4AF6-BEDF-C783E62831CC
PowerElectronicsConnection BatteryUnit trip_load_633_b_2 trip_load_633_b_2_Battery tlx_633_b_h_2 s1 _F95848B9-E067-47DA-9C68-82CF761F302E _B00301D0-60BD-4AF6-BEDF-C783E62831CC
